"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","NEET","15_19_MEN","PC_AGE","A","2005",7.1303949,
"AUS","NEET","15_19_MEN","PC_AGE","A","2006",6.7373157,
"AUS","NEET","15_19_MEN","PC_AGE","A","2007",6.8604112,
"AUS","NEET","15_19_MEN","PC_AGE","A","2008",6.1033521,
"AUS","NEET","15_19_MEN","PC_AGE","A","2009",7.6692138,
"AUS","NEET","15_19_MEN","PC_AGE","A","2010",8.9196825,
"AUS","NEET","15_19_MEN","PC_AGE","A","2011",7.47614,
"AUS","NEET","15_19_MEN","PC_AGE","A","2012",7.588624,
"AUS","NEET","15_19_MEN","PC_AGE","A","2013",8.5168867,
"AUS","NEET","15_19_MEN","PC_AGE","A","2014",7.6248312,
"AUS","NEET","15_19_MEN","PC_AGE","A","2015",6.6366858,
"AUS","NEET","15_19_MEN","PC_AGE","A","2016",6.3065462,
"AUS","NEET","15_19_MEN","PC_AGE","A","2017",6.4683914,
"AUS","NEET","15_19_MEN","PC_AGE","A","2018",6.8133616,
"AUS","NEET","15_19_MEN","PC_AGE","A","2019",7.0256076,
"AUS","NEET","20_24_MEN","PC_AGE","A","2005",8.8654366,
"AUS","NEET","20_24_MEN","PC_AGE","A","2006",9.6962729,
"AUS","NEET","20_24_MEN","PC_AGE","A","2007",7.5654249,
"AUS","NEET","20_24_MEN","PC_AGE","A","2008",8.3605661,
"AUS","NEET","20_24_MEN","PC_AGE","A","2009",10.089417,
"AUS","NEET","20_24_MEN","PC_AGE","A","2010",9.3087788,
"AUS","NEET","20_24_MEN","PC_AGE","A","2011",10.190396,
"AUS","NEET","20_24_MEN","PC_AGE","A","2012",10.702742,
"AUS","NEET","20_24_MEN","PC_AGE","A","2013",11.390619,
"AUS","NEET","20_24_MEN","PC_AGE","A","2014",11.664807,
"AUS","NEET","20_24_MEN","PC_AGE","A","2015",11.815385,
"AUS","NEET","20_24_MEN","PC_AGE","A","2016",10.847008,
"AUS","NEET","20_24_MEN","PC_AGE","A","2017",10.156062,
"AUS","NEET","20_24_MEN","PC_AGE","A","2018",10.115208,
"AUS","NEET","20_24_MEN","PC_AGE","A","2019",10.871539,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2005",7.6681256,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2006",7.3802438,
"AUS","NEET","15_19_WOMEN","PC_AGE","A","2007",6.1054273,
